predictive_rank,model,status_accuracy,status_macro_f1,status_weighted_f1,issue_accuracy,issue_macro_f1,issue_weighted_f1,false_acceptable_rate,critical_recall,challenge_status_accuracy,challenge_issue_accuracy
1,FastText + Logistic Regression,0.9971988795518207,0.9978335830730625,0.9971965027638757,0.9943977591036415,0.9898766301644,0.9943000996746235,0.004672897196261682,0.993103448275862,1.0,1.0
2,DistilBERT Embeddings + Logistic Regression,0.988795518207283,0.9847022699417493,0.9888270943944673,0.9831932773109243,0.9813928056822113,0.9831904934504113,0.004672897196261682,0.993103448275862,1.0,1.0
3,TF-IDF + Logistic Regression,0.927170868347339,0.9112587757665478,0.9314453242436872,0.8935574229691877,0.9331442494920138,0.9043064182208201,0.009345794392523364,0.993103448275862,1.0,1.0
