predictive_rank,model,status_accuracy,status_macro_f1,status_weighted_f1,issue_accuracy,issue_macro_f1,false_acceptable_rate,critical_recall,challenge_status_accuracy,challenge_issue_accuracy
1,DistilBERT Embeddings + Logistic Regression,0.9117971334068358,0.9146054459375463,0.91548991033293,0.9095920617420066,0.7976598536236842,0.02028397565922921,0.9702380952380952,0.875,0.625
2,FastText + Logistic Regression,0.886438809261301,0.8937796628227146,0.892027643263147,0.8754134509371555,0.7723230833250236,0.032454361054766734,0.9553571428571429,0.625,0.625
3,TF-IDF + Logistic Regression,0.8092613009922822,0.8260223601774206,0.80935013701832,0.7761852260198456,0.7244337165589844,0.028397565922920892,0.9583333333333334,0.75,0.5
